order_id,order_date,customer_id,product,category,region,channel,quantity,unit_price,unit_cost,discount_pct,gross_revenue,discount_amount,net_revenue,total_cost,profit,margin_pct,order_month
ORD100000,2025-10-16,CUST1057,Laptop Pro 14,Electronics,South,Online,3,427.75,250.18,0,1283.25,0.0,1283.25,750.54,532.71,41.51,2025-10
ORD100001,2025-08-27,CUST1216,Laptop Pro 14,Electronics,North,Retail,1,390.47,264.09,0,390.47,0.0,390.47,264.09,126.38,32.37,2025-08
ORD100002,2025-07-12,CUST1214,Smartphone X,Electronics,North,Online,2,475.03,364.5,10,950.06,95.01,855.05,729.0,126.05,14.74,2025-07
ORD100003,2024-10-11,CUST1079,Smartphone X,Electronics,South,Retail,5,557.96,319.82,0,2789.8,0.0,2789.8,1599.1,1190.7,42.68,2024-10
ORD100004,2024-02-14,CUST1373,Desk Lamp,Furniture,South,Retail,2,584.68,376.9,5,1169.36,58.47,1110.89,753.8,357.09,32.14,2024-02
ORD100005,2025-01-05,CUST1295,Smartphone X,Electronics,North,Online,3,145.07,88.05,0,435.21,0.0,435.21,264.15,171.06,39.31,2025-01
ORD100006,2024-04-13,CUST1194,Wireless Headphones,Electronics,South,Retail,2,1264.44,746.86,0,2528.88,0.0,2528.88,1493.72,1035.16,40.93,2024-04
ORD100007,2025-11-30,CUST1331,Laptop Air 13,Electronics,Center,Wholesale,3,323.02,236.54,0,969.06,0.0,969.06,709.62,259.44,26.77,2025-11
ORD100008,2025-10-17,CUST1352,Notebook Pack,Stationery,South,Retail,1,16.35,12.13,0,16.35,0.0,16.35,12.13,4.22,25.81,2025-10
ORD100009,2025-02-14,CUST1137,Laptop Air 13,Electronics,South,Online,1,1418.93,1091.29,0,1418.93,0.0,1418.93,1091.29,327.64,23.09,2025-02
ORD100010,2025-10-20,CUST1234,Monitor 27,Electronics,Center,Wholesale,1,430.21,296.99,0,430.21,0.0,430.21,296.99,133.22,30.97,2025-10
ORD100011,2025-02-12,CUST1185,Smartphone X,Electronics,South,Online,5,276.43,186.14,10,1382.15,138.22,1243.94,930.7,313.24,25.18,2025-02
ORD100012,2024-06-12,CUST1405,Water Bottle,Accessories,Center,Wholesale,2,16.99,10.97,20,33.98,6.8,27.18,21.94,5.24,19.29,2024-06
ORD100013,2024-01-12,CUST1348,Backpack,Accessories,North,Online,1,107.33,79.18,10,107.33,10.73,96.6,79.18,17.42,18.03,2024-01
