year,date,mean_rr20mm,median_rr20mm,p90_rr20mm,min_rr20mm,max_rr20mm,std_rr20mm
2010,2010-06-30,0.40462842491963874,0.0,1.0,0.0,6.0,0.7410058226944156
2011,2011-06-30,0.3982377927445278,0.0,1.0,0.0,7.0,0.7096023309024503
2012,2012-06-30,0.2787387111587326,0.0,1.0,0.0,6.0,0.5949770368838575
2013,2013-06-30,0.3460890861778662,0.0,1.0,0.0,7.0,0.6789449609021799
2014,2014-06-30,0.24789530078065208,0.0,1.0,0.0,6.0,0.5737255104425619
2015,2015-06-30,0.1995446196234502,0.0,1.0,0.0,6.0,0.4961575369075654
2016,2016-06-30,0.2329710699525486,0.0,1.0,0.0,6.0,0.5333537785603285
2017,2017-06-30,0.30571712842491966,0.0,1.0,0.0,10.0,0.6414172689058621
2018,2018-06-30,0.35546456451859787,0.0,1.0,0.0,6.0,0.6545999224560887
2019,2019-06-30,0.2043567273840502,0.0,1.0,0.0,5.0,0.49375923076457773
